scene_key,asset_id,acquisition_utc,polygon_id,class_id,split,source_url,figure,run_tag,processing,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.873035372848,-41.25507503517778,0.0541,0.0767,0.0789,0.0722,0.0335,0.0317,0.0263,0.0168,0.0016,0.003
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87315465570046,-41.255077239647285,0.0555,0.078,0.073,0.0722,0.0335,0.0317,0.0263,0.0168,0.0016,0.003
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87351250433733,-41.255083852314904,0.0541,0.0735,0.0769,0.072,0.034,0.0302,0.0269,0.0158,0.0021,0.0022
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8729131685559,-41.25516284677255,0.056,0.0772,0.0769,0.0746,0.034,0.0308,0.0264,0.0166,0.0031,0.002
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87327101760383,-41.25516946020186,0.0581,0.0749,0.0776,0.0716,0.0302,0.0324,0.0254,0.0162,0.0031,0.0032
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87339030064632,-41.255171664431344,0.057,0.073,0.0788,0.0716,0.0302,0.0324,0.0245,0.0162,0.0031,0.0032
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87386743294877,-41.255180480114454,0.0548,0.0749,0.0764,0.0717,0.0323,0.0333,0.0272,0.0165,0.0019,0.001
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8739867160575,-41.255182683726524,0.0546,0.0735,0.0776,0.0727,0.0316,0.0308,0.0248,0.016,0.0017,0.0021
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87410599917948,-41.255184887215115,0.0506,0.0714,0.0769,0.0727,0.0316,0.0308,0.0226,0.016,0.0017,0.0021
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.8742252823147,-41.25518709058022,0.0505,0.0721,0.0749,0.0715,0.032,0.0323,0.0231,0.0147,0.0023,2.0E-4
hutt_20200713,COPERNICUS/S2_SR_HARMONIZED/20200712T222549_20200712T222545_T60GUV,2020-07-12 22:27:27,hutt_20200713_plumeTrain_0,1,train,https://doi.org/10.1080/00288330.2022.2088569,"Gall et al. 2022, Figure 10A",v1,S2_SR_HARMONIZED_SCL_v1,174.87434456546316,-41.25518929382186,0.0549,0.0735,0.075,0.0715,0.032,0.0323,0.0236,0.0147,0.0023,2.0E-4
